Date,Adj Close,Close,High,Low,Open,Volume,Return_1D,Return_5D,Return_20D,LogReturn,SMA_20,SMA_50,EMA_12,EMA_26,Momentum_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Z,BB_Width,ATR_14,RangePct,Volatility_20D,Drawdown,Volume_Z,RSI_Signal,Trend_Signal,MACD_Signal_Flag,Breakout_Signal,TechnicalScore,BaseDirection,TechnicalConfidence
2025-05-19,105606.1796875,105606.1796875,107068.71875,102112.6875,106430.53125,61761126647,-0.007889709931436006,0.019961148551144392,0.12007653342147506,-0.007920998372646527,100720.736328125,91923.755625,103076.5471435872,99343.49117264673,0.12007653342147506,78.25626954786391,3733.055970940477,3758.7850359129275,-25.729064972450487,109258.65204707166,92182.82060917834,1.1444112404468016,0.1695364039264387,2977.0145089285716,0.04692936781413197,0.29126602895710674,-0.007889709931436006,1.0509118637420731,-1,1,-1,0,-2.7755575615628914e-17,Flat,2.7755575615628914e-15
2025-05-20,106791.0859375,106791.0859375,107307.1171875,104206.515625,105605.40625,36515726122,0.011220046530480143,0.029364845202094036,0.13357533617679618,0.011157568710076757,101349.925,92408.5990625,103648.01465034302,99895.16485893216,0.13357533617679618,77.22561274248845,3752.8497914108593,3757.597987012514,-4.7481956016545155,109719.83237082817,92980.01762917184,1.3001723188632173,0.16516849658898444,2949.2488839285716,0.029034273181889378,0.2908284264162256,0.0,-0.44843300605725284,-1,1,-1,0,-2.7755575615628914e-17,Flat,2.7755575615628914e-15
2025-05-21,109678.078125,109678.078125,110724.4609375,106127.234375,106791.3125,78086364051,0.027034018449719976,0.0598012520770379,0.13665066825660288,0.026675054496876065,102009.212109375,92898.7771875,104575.71672336716,100619.8251008631,0.13665066825660288,80.1070990805996,3955.8916225040593,3797.256714110823,158.6349083932364,110833.0039038567,93185.4203148933,1.7382246077975285,0.17299990093092316,3149.3030133928573,0.04191563748282082,0.29316460908354136,0.0,1.7343849898583676,-1,1,1,0,0.5,Long,50.0
2025-05-22,111673.28125,111673.28125,111970.171875,109285.0703125,109673.4921875,70157575642,0.018191448638679386,0.08219891510432831,0.15233928620517934,0.01802796394236439,102747.37265625,93482.52859375,105667.64972746452,101438.5996304288,0.15233928620517934,75.11361092638106,4229.050097035724,3883.6153906958034,345.4347063399209,112221.18196273841,93273.56334976158,1.8843335990807484,0.18440976273298676,2837.1199776785716,0.024044261370711716,0.2958973233394307,0.0,1.174676533389839,-1,1,1,0,0.5,Long,50.0
2025-05-23,107287.796875,107287.796875,111798.90625,106841.3046875,111679.359375,67548133399,-0.03927066820202352,0.007908131829450715,0.11884228235763783,-0.04006256233899459,103317.17265625,93966.22796875,105916.90313477768,101871.87350039704,0.11884228235763783,60.32652023838669,4045.0296343806403,3915.898239432771,129.13139494786947,112418.35985675307,94215.98545574692,0.8725508290897533,0.1761795636971975,3051.6344866071427,0.04620843848882511,0.3351619759887358,-0.03927066820202352,0.9573979109027466,0,1,1,0,0.7,Long,70.0
2025-05-24,107791.15625,107791.15625,109454.5234375,106895.2890625,107278.5078125,45903627163,0.004691674073487251,0.020689855167240978,0.14287271551040415,0.004680702474076876,103990.931640625,94445.175,106205.2497678888,102310.33888925651,0.14287271551040415,57.862832634790685,3894.9108786322904,3911.700767272675,-16.78988864038456,112241.81503673331,95740.04824451669,0.9211679348583317,0.15868467117155882,3082.202566964286,0.02374252641899831,0.32483552678456235,-0.03476323930438818,-0.4303549098063719,0,1,-1,0,0.19999999999999998,Flat,20.0
2025-05-25,109035.390625,109035.390625,109313.3046875,106683.375,107802.2734375,47518041841,0.011543009819045436,0.02101584292169756,0.15079292112775078,0.011476897551184374,104705.2984375,94955.786875,106640.65605359821,102808.49086968196,0.15079292112775078,62.119947748578454,3832.1651839162514,3895.7936506013907,-63.6284666851393,112005.99066915955,97404.60620584043,1.1862141424678885,0.1394522023356333,3157.6796875,0.02411996391653226,0.32516637722584224,-0.023621501897975294,-0.4315984875192036,0,1,-1,0,0.19999999999999998,Flat,20.0
2025-05-26,109440.3671875,109440.3671875,110376.8828125,108735.640625,109023.78125,45950461571,0.003714175371671846,-0.0021673514120942317,0.13055338121272553,0.0037072948540294247,105337.19296875,95580.30453125,107071.38084342926,103299.74096729812,0.13055338121272553,67.04060655318168,3771.639876131143,3870.9628957073414,-99.32301957619848,111909.15858112264,98765.22735637735,1.2486901060544835,0.12477958500987067,2922.55078125,0.014996680198341463,0.3207942167979423,-0.019995060926894737,-0.676672899071694,0,1,-1,0,0.19999999999999998,Flat,20.0
2025-05-27,108994.640625,108994.640625,110744.2109375,107609.5546875,109440.40625,57450176272,-0.004072780217708405,-0.02398640565600829,0.12328181243089342,-0.00408109657520394,105935.308984375,96175.490625,107367.2669636709,103721.58538638715,0.12328181243089342,63.0155838506594,3645.681577283758,3825.9066320226248,-180.22505473886667,111410.74956183639,100459.86840691362,1.1174741456306372,0.10337328752718299,2897.7170758928573,0.028759728295126897,0.3226108852914052,-0.02398640565600829,0.331119740587927,0,1,-1,0,0.19999999999999998,Flat,20.0
2025-05-28,107802.328125,107802.328125,109298.2890625,106812.9296875,108992.171875,49155377493,-0.010939184653144474,0.0047958040428350834,0.04417670135703555,-0.010999457493792041,106163.35234375,96806.098125,107434.19945002922,104023.86262628439,0.04417670135703555,61.16137377929218,3410.3368237448303,3742.792670367066,-332.45584662223564,111545.50614671054,100781.19854078945,0.6090408565985083,0.10139381781263804,2954.866629464286,0.023054783864390683,0.24975760531754387,-0.03466319858851641,-0.30910518848739776,0,1,-1,0,0.19999999999999998,Flat,20.0
2025-05-29,105641.7578125,105641.7578125,108910.046875,105374.3984375,107795.5703125,56022752042,-0.020041963379443528,-0.019940396895965162,0.025938469085873717,-0.020245528009254558,106296.89765625,97267.45421875,107158.43919810165,104143.70671415221,0.025938469085873717,54.50577344493657,3014.7324839494395,3597.1806330835407,-582.4481491341012,111474.16203266928,101119.63327983073,-0.253083403170967,0.0974113918764,3013.641183035714,0.03346828480244813,0.26177893126954715,-0.05401044341123451,0.32564837670681207,0,-1,-1,0,-0.5,Short,50.0
2025-05-30,103998.5703125,103998.5703125,106308.9453125,103685.7890625,105646.2109375,57655287183,-0.015554336978341854,-0.046194362065642425,-0.006664587240031272,-0.015676574887611795,106262.009765625,97754.9028125,106672.3055233937,104132.95586958538,-0.006664587240031272,51.13476688433135,2539.3496538083273,3385.614437228498,-846.2647834201707,111493.80442535061,101030.21510589939,-0.8652631077243813,0.09846971031820362,3101.2946428571427,0.025223002990500846,0.2617826337200454,-0.06872468375240837,0.4124381233444081,0,-1,-1,0,-0.7,Short,70.0
2025-05-31,104638.09375,104638.09375,104927.1015625,103136.1171875,103994.71875,38997843858,0.006149348357177731,-0.04388027526691729,0.005107607049101182,0.006130518270315466,106288.596484375,98179.56796875,106359.34986594852,104170.37349035683,0.005107607049101182,53.175877752960645,2188.976375591694,3146.286824901137,-957.3104493094434,111479.51153430816,101097.68143444184,-0.6359197630854119,0.09767586028283386,3153.667410714286,0.017115988172328494,0.26194946047967954,-0.06299794741636111,-1.2464807684760548,0,-1,-1,0,-0.5,Short,50.0
2025-06-01,105652.1015625,105652.1015625,105884.546875,103826.953125,104637.296875,37397056873,0.009690618169351017,-0.030667003839208284,0.027614695923072752,0.009643965283822335,106430.55390625,98586.8678125,106250.54243464874,104280.1311253304,0.027614695923072752,48.06744359415174,1970.4113093183405,2911.111721784578,-940.7004124662376,111370.47903557192,101490.62877692809,-0.31516766889009845,0.09282907864358718,3053.883370535714,0.019475180517661554,0.25942872637782005,-0.05391781830087494,-1.2485385041898545,0,-1,-1,0,-0.5,Short,50.0
2025-06-02,105881.53125,105881.53125,105958.3125,103727.546875,105649.8125,45819706290,0.0021715582000447764,-0.017817768024200542,0.016432003753486635,0.0021692037754339633,106516.13984375,99030.79890625,106193.77148316432,104398.7533567874,0.016432003753486635,50.6907996733867,1795.018126376919,2687.8930027030465,-892.8748763261274,111349.30512374682,101682.97456375319,-0.26260579019570457,0.09074991427752922,2859.2215401785716,0.021068505514270225,0.2557375052497757,-0.05186334578129004,-0.4734340582048094,0,-1,-1,0,-0.5,Short,50.0
2025-06-03,105432.46875,105432.46875,106813.578125,104920.84375,105888.4765625,46196508367,-0.004241178746647534,-0.001981120598839925,0.01828342090440338,-0.004250198055930138,106610.792578125,99448.60046875,106076.64798575443,104475.32486739574,0.01828342090440338,46.46084138126968,1601.3231183586904,2470.5790258341754,-869.255907475485,111269.49864024972,101952.08651600027,-0.5058588425248656,0.08739651867254988,2772.9453125,0.017952101448824323,0.2551686505406142,-0.05588456280807996,-0.4416979673813214,0,-1,-1,0,-0.5,Short,50.0
2025-06-04,104731.984375,104731.984375,105997.6953125,104232.703125,105434.3671875,44544857105,-0.0066439151364365845,0.00705215523921332,0.009517057884164792,-0.006666084188030525,106660.159765625,99869.8603125,105869.77666102299,104494.33668277384,0.009517057884164792,35.45913398818908,1375.4399782491528,2251.551216317171,-876.1112380680183,111210.65253673782,102109.66699451217,-0.8474578414299757,0.0853269445894714,2570.6428571428573,0.016852465825342576,0.2565279793902192,-0.06215718565178274,-0.5560276168069627,0,-1,-1,0,-0.5,Short,50.0
2025-06-05,101575.953125,101575.953125,105936.6875,100436.8828125,104750.78125,57479298400,-0.030134359325224014,-0.029264109419997908,-0.018488250859898026,-0.030597731847037197,106564.49296875,100220.70203125,105209.18842471176,104278.16012293873,-0.018488250859898026,22.211825655306228,931.0283017730253,1987.446633408342,-1056.4183316353167,111462.82500737435,101666.16093012564,-2.0368320499363186,0.09193178519717242,2771.6930803571427,0.05414475097990866,0.27923442119613495,-0.0904184780099313,0.512102394301381,1,-1,-1,-1,-0.6,Short,60.0
2025-06-06,104390.34375,104390.34375,105376.7734375,101169.5703125,101574.3671875,48856653697,0.027707252931573167,-0.011942571835673266,0.01162171908168852,0.02733035306445883,106624.455859375,100610.59390625,105083.21232090995,104286.47002123957,0.01162171908168852,41.27131018134542,796.7422996703826,1749.3057666607501,-952.5634669903675,111376.07626940418,101872.83544934582,-0.9403579901540484,0.08912815304391336,2718.093191964286,0.04030260820939197,0.29649740938901664,-0.06521647271826714,-0.297569117412927,0,-1,-1,0,-0.5,Short,50.0
2025-06-07,105615.625,105615.625,105972.7578125,103987.3125,104390.6484375,38365033776,0.011737496074678777,-0.002511356294726763,-0.007800976566098017,0.011669145986995247,106582.93671875,101033.8903125,105165.12196384688,104384.9259455922,-0.007800976566098017,43.719314706386506,780.1960182546754,1555.4838169795353,-775.2877987248598,111355.58748152891,101810.28595597109,-0.40535617074431785,0.08955750159845818,2677.1082589285716,0.018798783915732167,0.27744027382465003,-0.05424445473612338,-1.1514121037677627,0,-1,-1,0,-0.7,Short,70.0
2025-06-08,105793.6484375,105793.6484375,106497.0625,105075.328125,105617.5078125,36626232328,0.0016855786016509722,0.0034256969582722174,0.0017751683713467248,0.0016841596083658347,106592.31015625,101448.495,105261.8183444089,104489.2757598076,0.0017751683713467248,40.02725457066841,772.542584601295,1398.8955705038873,-626.3529859025923,111357.6144135626,101827.0058989374,-0.33519862557544206,0.08941178308880453,2590.80859375,0.013438749830429772,0.2760745421664322,-0.052650309426633735,-1.17301165577688,0,-1,-1,0,-0.5,Short,50.0
2025-06-09,110294.1015625,110294.1015625,110561.421875,105400.234375,105793.0234375,55903193732,0.04253991795791734,0.053108104660601674,0.03280250963128295,0.041659964564867834,106767.4609375,101950.8909375,106036.01576257676,104919.26285630334,0.03280250963128295,52.09778369549942,1116.7529062734247,1342.467037657795,-225.71413138437015,111812.80864422511,101722.11323077489,1.3979772376437896,0.0945109617185441,2842.2332589285716,0.04679477349090447,0.31128148287223445,-0.012350131312184431,0.4104653402836368,0,1,-1,0,0.19999999999999998,Flat,20.0
