aligned_time,pm_hist_market_count,pm_hist_mean_price,pm_hist_bullish_mean,pm_hist_bearish_mean,pm_hist_net_sentiment,pm_hist_liq_weighted_sentiment,pm_hist_avg_spread,pm_hist_total_liquidity,pm_hist_total_volume,pm_hist_dispersion,pm_hist_price_momentum_3d,pm_hist_price_vol_7d,pm_hist_event_risk
2024-05-02,0.0,,,,,,,,,,,,0.04787961696306431
2024-05-03,0.0,,,,,,,,,,,,0.0492476060191519
2024-05-04,0.0,,,,,,,,,,,,0.050615595075239384
2024-05-05,0.0,,,,,,,,,,,,0.051983584131326976
2024-05-06,0.0,,,,,,,,,,,,0.05335157318741446
2024-05-07,0.0,,,,,,,,,,,,0.05471956224350205
2024-05-08,0.0,,,,,,,,,,,,0.056087551299589644
2024-05-09,0.0,,,,,,,,,,,,0.057455540355677126
2024-05-10,0.0,,,,,,,,,,,,0.05882352941176472
2024-05-11,0.0,,,,,,,,,,,,0.06019151846785231
2024-05-12,0.0,,,,,,,,,,,,0.061559507523939794
2024-05-13,0.0,,,,,,,,,,,,0.06292749658002739
2024-05-14,0.0,,,,,,,,,,,,0.06429548563611487
2024-05-15,0.0,,,,,,,,,,,,0.06566347469220246
2024-05-16,0.0,,,,,,,,,,,,0.06703146374829005
2024-05-17,0.0,,,,,,,,,,,,0.06839945280437754
2024-05-18,0.0,,,,,,,,,,,,0.06976744186046513
2024-05-19,0.0,,,,,,,,,,,,0.07113543091655272
2024-05-20,0.0,,,,,,,,,,,,0.0725034199726402
2024-05-21,0.0,,,,,,,,,,,,0.0738714090287278
2024-05-22,0.0,,,,,,,,,,,,0.07523939808481528
2024-05-23,0.0,,,,,,,,,,,,0.07660738714090287
2024-05-24,0.0,,,,,,,,,,,,0.07797537619699046
2024-05-25,0.0,,,,,,,,,,,,0.07934336525307795
2024-05-26,0.0,,,,,,,,,,,,0.08071135430916554
2024-05-27,0.0,,,,,,,,,,,,0.08207934336525313
2024-05-28,0.0,,,,,,,,,,,,0.08344733242134061
2024-05-29,0.0,,,,,,,,,,,,0.08481532147742821
2024-05-30,0.0,,,,,,,,,,,,0.08618331053351569
2024-05-31,0.0,,,,,,,,,,,,0.08755129958960328
2024-06-01,0.0,,,,,,,,,,,,0.08891928864569087
2024-06-02,0.0,,,,,,,,,,,,0.09028727770177836
2024-06-03,0.0,,,,,,,,,,,,0.09165526675786595
2024-06-04,0.0,,,,,,,,,,,,0.09302325581395354
2024-06-05,0.0,,,,,,,,,,,,0.09439124487004102
2024-06-06,0.0,,,,,,,,,,,,0.09575923392612862
2024-06-07,0.0,,,,,,,,,,,,0.0971272229822161
2024-06-08,0.0,,,,,,,,,,,,0.09849521203830369
2024-06-09,0.0,,,,,,,,,,,,0.09986320109439129
2024-06-10,0.0,,,,,,,,,,,,0.10123119015047877
2024-06-11,0.0,,,,,,,,,,,,0.10259917920656636
2024-06-12,0.0,,,,,,,,,,,,0.10396716826265395
2024-06-13,0.0,,,,,,,,,,,,0.10533515731874143
2024-06-14,0.0,,,,,,,,,,,,0.10670314637482903
2024-06-15,0.0,,,,,,,,,,,,0.10807113543091651
2024-06-16,0.0,,,,,,,,,,,,0.1094391244870041
2024-06-17,0.0,,,,,,,,,,,,0.1108071135430917
2024-06-18,0.0,,,,,,,,,,,,0.11217510259917918
2024-06-19,0.0,,,,,,,,,,,,0.11354309165526677
2024-06-20,0.0,,,,,,,,,,,,0.11491108071135436
2024-06-21,0.0,,,,,,,,,,,,0.11627906976744184
2024-06-22,0.0,,,,,,,,,,,,0.11764705882352944
2024-06-23,0.0,,,,,,,,,,,,0.11901504787961692
2024-06-24,0.0,,,,,,,,,,,,0.12038303693570451
2024-06-25,0.0,,,,,,,,,,,,0.1217510259917921
2024-06-26,0.0,,,,,,,,,,,,0.12311901504787959
2024-06-27,0.0,,,,,,,,,,,,0.12448700410396718
2024-06-28,0.0,,,,,,,,,,,,0.12585499316005477
2024-06-29,0.0,,,,,,,,,,,,0.12722298221614226
2024-06-30,0.0,,,,,,,,,,,,0.12859097127222985
2024-07-01,0.0,,,,,,,,,,,,0.12995896032831733
2024-07-02,0.0,,,,,,,,,,,,0.13132694938440492
