Date,Adj Close,Close,High,Low,Open,Volume,Return_1D,Return_5D,Return_20D,LogReturn,SMA_20,SMA_50,EMA_12,EMA_26,Momentum_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Z,BB_Width,ATR_14,RangePct,Volatility_20D,Drawdown,Volume_Z,RSI_Signal,Trend_Signal,MACD_Signal_Flag,Breakout_Signal,TechnicalScore,BaseDirection,TechnicalConfidence,FinalAction,PositionSize,FinalConfidence,RiskZone,pm_hist_liq_weighted_sentiment,pm_hist_net_sentiment,pm_hist_mean_price,rolling_mean,signal
2026-01-10,3082.39599609375,3082.39599609375,3099.16748046875,3075.135498046875,3083.16650390625,6960662969,-0.00021119464663144072,-0.04455318244044493,0.026912931764407233,-0.00021121695136130524,3043.205712890625,3029.3337890625,3100.5521235266137,3072.22331971341,0.026912931764407233,61.23130998524099,28.32880381320365,17.833810406609143,10.494993406594507,3265.928873986163,2820.4825517950867,0.35191924369566807,0.14637404244616903,90.66029575892857,0.0077965266151170005,0.27539185261246235,-0.36200091726781936,-1.5892520212365735,0,1,1,0,0.7,Long,70.0,Long,0.25,38.26976025814331,Cautious,0.0,0.0,0.2725,3102.704084123884,-1
2026-01-11,3118.88525390625,3118.88525390625,3141.9580078125,3080.747802734375,3082.407470703125,10497219711,0.01183795263773435,-0.05372098986992635,0.037527863103979486,0.011768432191719677,3048.8462890625,3036.359345703125,3103.3726051234808,3075.67975928325,0.037527863103979486,63.42694083876831,27.692845840230802,19.805617493333475,7.887228346897327,3273.3170901825843,2824.375487942416,0.6240363066756414,0.14724966747281146,92.79007393973214,0.01962566753665023,0.27787762208036415,-0.35444831434351776,-0.9641314911815205,0,1,1,0,0.7,Long,70.0,Long,0.25,38.55363431058459,Tradeable,0.0,0.0,0.26345,3091.387255859375,1
2026-01-12,3092.3251953125,3092.3251953125,3166.219970703125,3068.07275390625,3118.828857421875,21152711365,-0.008515881935856728,-0.023530934572717044,0.04351498354750949,-0.008552349240195838,3055.29384765625,3042.1723291015624,3101.673003614099,3076.912754544676,0.04351498354750949,62.19812566790115,24.760249069423026,20.796543808551387,3.963705260871638,3276.8160478029986,2833.7716475095012,0.33433531837186964,0.14500876916744412,89.57245744977679,0.031738970062285626,0.2741685283825071,-0.3599457562820617,0.6024965033854479,0,1,1,0,0.7,Long,70.0,Long,0.25,38.83010272461433,Tradeable,0.0,0.0,0.27365,3084.1017857142856,1
2026-01-13,3322.095458984375,3322.095458984375,3352.580078125,3088.512939453125,3092.008544921875,27237310134,0.07430339604003233,0.07013081855438275,0.12781982868162567,0.07167244785080332,3074.119091796875,3049.559970703125,3135.584150594141,3095.074436355024,0.12781982868162567,70.88221765144762,40.50971423911733,24.739177894664575,15.770536344452754,3319.133763836021,2829.1044197577294,2.0241756554716086,0.15940480165062867,102.25763811383929,0.07948812486941755,0.3666441916211053,-0.3123875523239843,1.335828012943569,-1,1,1,1,0.6,Long,60.0,No Trade,0.0,32.8023094362711,Cautious,0.0,0.0,0.2758,3084.5235142299107,1
2026-01-14,3354.72265625,3354.72265625,3397.897705078125,3280.378662109375,3322.192138671875,33926411912,0.009821270239958713,0.08811916477783255,0.1553747890997288,0.009773355035415114,3096.6762451171876,3057.4956982421877,3169.297766848889,3114.307637828726,0.1553747890997288,72.33448834384545,54.99012902016284,30.78936811976423,24.20076090039861,3358.1019054904937,2835.2505847438815,1.9741475321460924,0.16884274601551894,106.17286900111607,0.03503092655060671,0.3587764773739419,-0.30563432465499873,1.925749402529829,-1,1,1,0,0.5,Long,50.0,No Trade,0.0,28.63240797419619,Tradeable,0.0,0.0,0.27745,3083.517107282366,1
2026-01-15,3317.101318359375,3317.101318359375,3382.44873046875,3276.820068359375,3354.765869140625,27598686935,-0.011214440579919382,0.07614379286861972,0.13376272775018783,-0.01127779653171091,3116.244030761719,3063.281484375,3192.036774773579,3129.3293919421076,0.13376272775018783,68.15623833071979,62.70738283147148,37.17297106210568,25.534411769365796,3382.343735136752,2850.144326386686,1.5096393141014068,0.17078232753805805,110.92027064732143,0.0318436646854123,0.3647204313842981,-0.3134212472618909,1.0298614285538068,0,1,1,0,0.7,Long,70.0,Long,0.25,38.90108059112305,Cautious,0.0,0.0,0.2968,3083.5863002232145,1
2026-01-16,3295.482177734375,3295.482177734375,3325.25048828125,3251.814453125,3317.341796875,22732887284,-0.006517479736100618,0.056621808579506494,0.11787112895477203,-0.006538811242779367,3133.6182250976562,3068.900283203125,3207.951452152163,3141.637005704498,0.11787112895477203,61.111195688096146,66.31444644766498,43.00126613921754,23.313180308447436,3398.8392578375992,2868.3971923577133,1.2205966545302696,0.16927462995699014,104.94548688616071,0.0222838514049367,0.3674845331352684,-0.31789601037009874,0.3538249059184967,0,1,1,0,0.7,Long,70.0,Long,0.25,38.71715348620774,Cautious,0.0,0.0,0.27525,3081.5888881138394,1
2026-01-17,3308.8642578125,3308.8642578125,3328.283447265625,3282.661865234375,3295.482666015625,11206492253,0.004060735078022848,0.07002467361073172,0.12219359651777473,0.004052512545503773,3151.6330322265626,3074.4314794921875,3223.47649917683,3154.02420956435,0.12219359651777473,61.70261079023349,69.4522896124804,48.291470833870115,21.160818778610285,3412.8457486456127,2890.4203158075125,1.203855828624357,0.16576340820651245,104.09275599888393,0.013787686189765476,0.3669904446004594,-0.31512616677254934,-1.1948909155368335,0,1,1,0,0.7,Long,70.0,Long,0.25,38.952771142362515,Cautious,0.0,0.0,0.2606,3080.281577845982,1
2026-01-18,3281.15771484375,3281.15771484375,3367.167724609375,3278.4267578125,3308.90576171875,13557863288,-0.0083734299173297,-0.012322868095169137,0.1181171774833818,-0.008408684018054191,3168.964001464844,3080.220927734375,3232.3505323563563,3163.441506251713,0.1181171774833818,58.83801962188089,68.90902610464354,52.414981888024805,16.49404421661874,3415.08835133776,2922.839651591928,0.9116831669587855,0.15533426681978443,107.49400111607143,0.027045626729680344,0.3685996715253372,-0.3208609098172923,-0.7967407404045159,0,1,1,0,0.7,Long,70.0,Long,0.25,39.26318051565892,Cautious,0.0,0.0,0.25670000000000004,3075.974954659598,1
2026-01-19,3186.62109375,3186.62109375,3282.65478515625,3166.0166015625,3282.19921875,27956112545,-0.028811971050971552,-0.05010892992504734,0.07242482759935309,-0.02923518479382044,3179.72421875,3084.1110986328126,3225.3152341092245,3165.1585127330673,0.07242482759935309,47.541976115717745,60.15672137615729,53.963329785651304,6.193391590505989,3407.6267321451805,2951.8217053548196,0.06052478226109606,0.1433473456919937,106.74293736049107,0.03660246391468236,0.38750093208125364,-0.3404282456232196,1.0348234671240069,0,1,1,0,0.7,Long,70.0,Long,0.25,38.813914509780886,Cautious,0.0,0.0,0.25135,3070.5201136997766,1
2026-01-20,2935.605712890625,2935.605712890625,3197.391845703125,2925.54345703125,3186.62109375,32985301273,-0.07877164352915944,-0.11500872866236,-0.01059369277640898,-0.08204732940901807,3178.152624511719,3086.81943359375,3180.7445385371325,3148.154601633627,-0.01059369277640898,31.706321889370585,32.58993690350553,49.68865120922215,-17.09871430571662,3412.570935767915,2943.7343132555225,-2.069351240705881,0.14751859897994146,117.62147739955357,0.09260384917434705,0.4925237222955768,-0.39238379674088963,1.488291733085108,0,-1,-1,-1,-0.7999999999999999,Short,80.0,Short,0.25,42.80006179767172,Cautious,0.0,0.0,0.24939999999999998,3063.667592075893,-1
2026-01-21,2978.901123046875,2978.901123046875,3064.390625,2867.264404296875,2935.882080078125,35797876195,0.014748373722715646,-0.09606516971217471,-0.007163446535957352,0.014640674097217414,3177.0779663085937,3086.438662109375,3149.691705384785,3135.6173069234974,-0.007163446535957352,39.547943896099376,14.074398461287728,42.56580065963527,-28.491402198347544,3415.096883563355,2939.0590490538325,-1.6652192653208495,0.14983511250201537,119.57032993861607,0.06617414024856946,0.4937669561715018,-0.38342244589524677,1.6248546256718015,0,-1,-1,0,-0.7,Short,70.0,Short,0.25,37.216970394767294,Cautious,0.0,0.0,0.2325,3057.4648332868305,-1
2026-01-22,2949.63330078125,2949.63330078125,3034.338134765625,2905.562744140625,2979.307861328125,21993593333,-0.009825039857546347,-0.1085662417801142,-0.05594291445255317,-0.009873624051331843,3168.3385009765625,3081.599892578125,3118.9134892919337,3121.8407138759235,-0.05594291445255317,41.06402265809704,-2.927224583989755,33.46719561091027,-36.39442019490002,3426.4827681012703,2910.1942338518547,-1.6944416595520018,0.16295245413022702,119.67166573660714,0.04365810170060533,0.47029157575221997,-0.3894803449395944,0.009190020224782502,0,-1,-1,0,-0.7,Short,70.0,Short,0.25,37.979677130417535,Cautious,0.0,0.0,0.23049999999999998,3053.4202078683034,-1
2026-01-23,2953.25634765625,2953.25634765625,3013.9541015625,2892.52099609375,2949.44580078125,22417700837,0.0012283041671792283,-0.09993465590029238,-0.055235345747709386,0.0012275504187740749,3159.7054443359375,3077.97869140625,3093.4277751941363,3109.3529830448365,-0.055235345747709386,42.348733551424324,-15.92520785070019,23.588714918588177,-39.51392276928837,3434.8141860674473,2884.5967026044277,-1.5008545012442378,0.17413568864443835,122.444580078125,0.041118376183334436,0.47037001518485305,-0.3887304411031388,-0.005775767004616636,0,-1,-1,0,-0.7,Short,70.0,Short,0.25,37.94712810160171,Cautious,0.0,0.0,0.23715000000000003,3051.269789341518,-1
2026-01-24,2948.74072265625,2948.74072265625,2965.46875,2942.444580078125,2953.23828125,8198666763,-0.0015290325215363554,-0.07464971959179922,-0.061123026037071426,-0.0015302026847261398,3150.1069580078124,3076.4648486328124,3071.1682286498462,3097.455778571608,-0.061123026037071426,42.15665486312843,-26.287549921761638,13.613461950518214,-39.90101187227985,3440.9516729871702,2859.2622430284546,-1.3846992912754432,0.18465704108237238,122.37259347098214,0.0078081364512559235,0.4695597408635627,-0.3896650921381173,-1.6541660015510236,0,-1,-1,0,-0.7,Short,70.0,Short,0.25,37.726556121473834,Cautious,0.0,0.0,0.24710000000000001,3048.157066127232,-1
2026-01-25,2815.90234375,2815.90234375,2955.016845703125,2785.896728515625,2948.534423828125,22414089670,-0.04504918926428636,-0.04077637831776659,-0.12715791990906777,-0.046095446910964524,3129.595556640625,3071.978740234375,3031.89655404987,3076.599968584822,-0.12715791990906777,34.026273245875984,-44.70341453495212,1.9500866534241492,-46.65350118837627,3453.812635392153,2805.378477889097,-1.9350813602946078,0.20719423509122656,130.0804443359375,0.0600589425847343,0.47905043423431587,-0.41716018491698803,0.05668654026207692,0,-1,-1,0,-0.7,Short,70.0,Short,0.25,36.495832218165674,Cautious,0.0,0.0,0.26865,3044.2007080078124,-1
2026-01-26,2926.45703125,2926.45703125,2945.99755859375,2811.074951171875,2815.768798828125,29668620102,0.03926083862438623,-0.01760518044426873,-0.11210428172979392,0.0385097283715548,3111.1210693359376,3069.281845703125,3015.675089003736,3065.4782695229833,-0.11210428172979392,41.9666594302325,-49.803180519247235,-8.400566781110127,-41.402613738137106,3437.52759354749,2784.714545124385,-1.1314972244013843,0.20983209392183721,132.70725795200892,0.04610442114171226,0.4959530036019666,-0.3942774049931468,0.9043347206197492,0,-1,-1,0,-0.7,Short,70.0,Short,0.25,36.425887188471364,Cautious,0.0,0.0,0.2358,3042.7995396205356,-1
2026-01-27,3022.2109375,3022.2109375,3031.03857421875,2898.3115234375,2926.201171875,27976005223,0.032720079340819774,0.024605647318779234,-0.045671039340185016,0.03219617504335294,3103.8894165039064,3067.2221044921876,3016.6806041570076,3062.2732819657253,-0.045671039340185016,33.3092822700725,-45.59267780871778,-15.838988986631659,-29.753688822086122,3431.5043450301628,2776.27448797765,-0.4986248909433347,0.21109961378409436,123.32582310267857,0.04391720284456485,0.4964550328697847,-0.37445811362599524,0.6643333956546719,0,-1,-1,0,-0.7,Short,70.0,Short,0.25,37.27850555375849,Cautious,0.0,0.0,0.23500000000000001,3041.359995814732,-1
2026-01-28,3006.607421875,3006.607421875,3040.718505859375,2981.589599609375,3022.237548828125,21751566455,-0.005162947242162819,0.018065168728441217,-0.03149584316086651,-0.005176321307197195,3099.0006591796873,3060.931953125,3015.1308838059294,3058.149884921968,-0.03149584316086651,30.25065222654547,-43.01900111603845,-21.274991412513018,-21.744009703525435,3429.490046200855,2768.5112721585197,-0.5591298294778199,0.21328771650448694,119.15509905133929,0.019666320857122627,0.4922699651139743,-0.3776877533831072,-0.05776469330519649,0,-1,-1,0,-0.7,Short,70.0,Short,0.25,37.65305994121853,Cautious,0.0,0.0,0.22475,3041.1248046875,-1
2026-01-29,2818.232666015625,2818.232666015625,3008.03759765625,2751.64501953125,3006.26171875,37487198041,-0.06265359238084345,-0.04425891216473665,-0.08589374177285192,-0.06470236643237812,3085.7599365234373,3050.7888037109374,2984.8388502997286,3040.3782390770534,-0.08589374177285192,25.832042556372343,-55.5393887773248,-28.127870885475378,-27.411517891849424,3439.3520838972854,2732.167789149589,-1.5131968992793237,0.22917670502406073,129.9239501953125,0.0909763701261344,0.5408827885164869,-0.416677851216249,1.563126102453874,1,-1,-1,0,-0.5,Short,50.0,No Trade,0.0,24.955275569410936,Cautious,0.0,0.0,0.24145,3040.9313058035714,-1
