AssetReturn,Spot Only,Perp Hedge,Option Floor Proxy,PM Overlay Hedge
-0.05500000000000002,-42.305515509105234,-21.152757754552617,-49.99742741985164,134.60845843806203
-0.05000000000000002,-38.45955955373203,-19.229779776866014,-46.15147146447843,138.45441439343526
-0.04500000000000001,-34.61360359835882,-17.30680179917941,-42.30551550910523,51.82425649865387
-0.04000000000000001,-30.76764764298562,-15.38382382149281,-38.45955955373202,54.708723465183766
-0.035,-26.921691687612412,-13.460845843806206,-34.613603598358814,57.59319043171368
-0.03,-23.07573573223921,-11.537867866119605,-30.767647642985615,60.47765739824358
-0.024999999999999994,-19.229779776866003,-9.614889888433002,-26.92169168761241,63.362124364773486
-0.020000000000000018,-15.38382382149282,-7.69191191074641,-23.075735732239224,66.24659133130336
-0.015000000000000013,-11.537867866119615,-5.768933933059808,-19.229779776866017,69.13105829783329
-0.010000000000000009,-7.69191191074641,-3.845955955373205,-15.383823821492815,72.01552526436319
-0.0050000000000000044,-3.845955955373205,-1.9229779776866025,-11.537867866119608,74.89999223089309
0.0,0.0,0.0,-7.691911910746404,77.78445919742299
0.0050000000000000044,3.845955955373205,1.9229779776866025,-3.845955955373199,80.66892616395289
0.009999999999999981,7.691911910746389,3.8459559553731943,-1.509903313490213e-14,83.55339313048279
0.014999999999999986,11.537867866119594,5.768933933059797,3.8459559553731903,86.4378600970127
0.01999999999999999,15.383823821492799,7.691911910746399,7.691911910746395,89.3223270635426
0.024999999999999994,19.229779776866003,9.614889888433002,11.5378678661196,92.2067940300725
0.03,23.07573573223921,11.537867866119605,15.383823821492806,95.0912609966024
0.035,26.921691687612412,13.460845843806206,19.22977977686601,97.9757279631323
0.03999999999999998,30.767647642985597,15.383823821492799,23.075735732239195,100.86019492966219
0.044999999999999984,34.6136035983588,17.3068017991794,26.921691687612395,103.7446618961921
0.04999999999999999,38.45955955373201,19.229779776866003,30.7676476429856,106.629128862722
0.05499999999999999,42.30551550910521,21.152757754552606,34.61360359835881,109.5135958292519
0.06,46.15147146447842,23.07573573223921,38.459559553732014,112.39806279578181
0.065,49.99742741985162,24.99871370992581,42.30551550910521,115.28252976231171
0.07,53.843383375224825,26.921691687612412,46.15147146447842,118.16699672884161
0.07500000000000001,57.68933933059803,28.844669665299016,49.997427419851626,121.05146369537152
0.08000000000000002,61.53529528597124,30.76764764298562,53.84338337522483,123.93593066190142
0.08500000000000002,65.38125124134444,32.69062562067222,57.68933933059804,126.82039762843132
0.08999999999999997,69.2272071967176,34.6136035983588,61.535295285971195,129.70486459496118
0.09499999999999997,73.07316315209081,36.53658157604541,65.38125124134442,132.58933156149112
0.09999999999999998,76.91911910746401,38.45955955373201,69.22720719671761,135.473798528021
0.10499999999999998,80.76507506283721,40.382537531418606,73.07316315209081,138.3582654945509
0.10999999999999999,84.61103101821043,42.30551550910521,76.91911910746403,141.2427324610808
0.11499999999999999,88.45698697358362,44.22849348679181,80.76507506283723,144.12719942761072
0.12,92.30294292895684,46.15147146447842,84.61103101821044,147.01166639414063
0.125,96.14889888433004,48.07444944216502,88.45698697358364,149.89613336067052
0.13,99.99485483970324,49.99742741985162,92.30294292895684,152.78060032720043
0.135,103.84081079507645,51.920405397538225,96.14889888433005,155.66506729373032
0.14,107.68676675044965,53.843383375224825,99.99485483970325,158.54953426026023
0.14500000000000002,111.53272270582286,55.76636135291143,103.84081079507646,161.43400122679014
0.15000000000000002,115.37867866119606,57.68933933059803,107.68676675044966,164.31846819332003
0.15499999999999997,119.22463461656922,59.61231730828461,111.53272270582282,167.20293515984991
0.15999999999999998,123.07059057194243,61.535295285971216,115.37867866119603,170.08740212637983
0.16499999999999998,126.91654652731563,63.458273263657816,119.22463461656923,172.9718690929097
0.16999999999999998,130.76250248268883,65.38125124134442,123.07059057194243,175.85633605943963
0.175,134.60845843806203,67.30422921903101,126.91654652731563,178.7408030259695
0.18,138.45441439343526,69.22720719671763,130.76250248268886,181.62526999249945
0.185,142.30037034880846,71.15018517440423,134.60845843806206,184.50973695902934
0.19,146.14632630418166,73.07316315209083,138.45441439343526,187.39420392555922
0.195,149.99228225955486,74.99614112977743,142.30037034880846,190.27867089208914
0.2,153.83823821492808,76.91911910746404,146.14632630418168,193.16313785861905
